Index,Image,Score
0,Venice_3840x2160_60fps_10bit_420_480x270_BC.png,3.6
1,Venice_3840x2160_60fps_10bit_420_960x540_SR.png,2.5
2,Venice_3840x2160_60fps_10bit_420_480x270_NN.png,2.5
3,Venice_3840x2160_60fps_10bit_420_480x270_SR.png,1.1
4,Venice_3840x2160_60fps_10bit_420_960x540_BC.png,2.5
5,Venice_3840x2160_60fps_10bit_420_960x540_NN.png,3.8
6,Venice_3840x2160_60fps_10bit_420_1920x1080_NN.png,0.5
7,Venice_3840x2160_60fps_10bit_420_1920x1080_BC.png,3.5
8,Venice_3840x2160_60fps_10bit_420_1920x1080_SR.png,0.8
